key,first_temp,last_temp,active_power,reactive_power,time_heating,full_work,full_power,bulk_1,bulk_2,bulk_3,bulk_4,bulk_5,bulk_6,bulk_7,bulk_9,bulk_10,bulk_11,bulk_12,bulk_13,bulk_14,bulk_15,wire_1,wire_2,wire_3,wire_4,wire_6,wire_7,wire_8,wire_9,gas_1
2454,1564.0,1582.0,3.673849,2.614525,745.0,930.7577801695123,5.1956070819108335,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,94.0,204.0,86.00591999999999,70.84584100000001,0.0,0.0,0.0,0.0,0.0,0.0,6.1707682955
2455,1616.0,1592.0,0.9534640000000001,0.674642,356.0,241.23244825027172,1.3484017200345009,47.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,142.0,0.0,192.235672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4252246304
2456,1597.0,1591.0,1.201909,0.860895,468.0,444.4709771735098,1.6997560085382841,46.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,236.0,203.0,110.073601,15.26096,0.0,0.0,0.0,0.0,0.0,0.0,9.670252259
2457,1607.0,1590.0,2.995221,2.115099,783.0,628.668630859479,4.235882160504704,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,89.0,206.0,139.16449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9023516597
2458,1588.0,1591.0,1.380527,1.010526,560.0,323.7951453609336,1.952360006622242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,111.0,207.0,105.094078,15.20064,0.0,0.0,0.0,0.0,0.0,0.0,4.9241177376
2459,1578.0,1589.0,3.4424780000000004,2.7163209999999998,791.0,658.9621714815266,4.868399075771007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,157.0,0.0,146.0,106.0,88.058876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7989304467
2461,1575.0,1589.0,2.945773,2.303623,1138.0,742.783607758155,4.16595212827248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,229.0,210.0,108.32640200000002,13.21008,0.0,0.0,0.0,0.0,0.0,0.0,15.9067935677
2462,1600.0,1588.0,2.920289,2.157653,676.0,592.848166858982,4.129912309848963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,190.0,209.0,116.101441,10.133759,0.0,0.0,0.0,0.0,0.0,0.0,11.8694027099
2463,1590.0,1584.0,4.255181,3.148008,1052.0,779.983209996251,6.017734680552309,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,189.0,209.0,126.0168,175.50103699999997,0.0,0.0,0.0,0.0,0.0,0.0,18.6551366578
2464,1565.0,1591.0,3.567142,2.810601,892.0,1116.4696888852568,5.044700595310687,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,231.0,160.0,91.990081,107.460075,0.0,0.0,0.0,0.0,0.0,43.862003,31.6213119507
2465,1593.0,1584.0,3.910309,2.8292409999999997,987.0,943.0664458923825,5.530012020869575,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,232.0,160.0,100.070877,75.128555,0.0,0.0,0.0,0.0,0.0,48.193606,9.6118777398
2466,1596.0,1592.0,3.1594729999999998,2.224368,1007.0,819.3383339186992,4.46816956655161,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,0.0,232.0,208.0,147.201599,120.368553,0.0,0.0,0.0,0.0,0.0,25.1888,22.6258922887
2467,1608.0,1588.0,3.395756,2.215379,747.0,770.4266137652537,4.802324189709812,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,119.115357,103.358322,0.0,0.0,0.0,0.0,0.0,42.0784,13.673634948699998
2470,1627.0,1591.0,1.737345,1.205958,478.0,374.2844801401758,2.4569768615210847,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,160.0,205.0,115.053116,115.09056,0.0,0.0,0.0,0.0,0.0,11.3568,9.812349926
2472,1627.0,1592.0,0.486122,0.344489,161.0,110.68433238423732,0.6874803253679337,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.125443,156.13832100000002,0.0,0.0,0.0,0.0,0.0,39.967201,14.7944987341
